norm,description,citation,category,source,associated_embed,type
valence_imbault,Valence ratings on a scale from 1 (happy) to 9 (unhappy),"Imbault, C., Titone, D., Warriner, A. B., & Kuperman, V. (2021). How are words felt in a second language: Norms for 2,628 English words for valence and arousal by L2 speakers. Bilingualism: Language and Cognition, 24(2), 281–292.
",valence,lit_search,,numeric
arousal_imbault,Arousal ratings on a scale from 1 (excited) to 9 (calm),"Imbault, C., Titone, D., Warriner, A. B., & Kuperman, V. (2021). How are words felt in a second language: Norms for 2,628 English words for valence and arousal by L2 speakers. Bilingualism: Language and Cognition, 24(2), 281–292.
",arousal,lit_search,,numeric
likableness_anderson,Likableness ratings on a scale from 0 (least favorable or desirable in a person) to 6 (most favorable or desirable in a person).,"Anderson, N. H. (1968). Likableness ratings of 555 personality-trait words. Journal of Personality and Social Psychology, 9(3), 272.
",social/moral,lit_search,,numeric
meaningfulness_anderson,"Meaningfulness ratings on a scale from 0 (""I have almost no idea of the meaning of this word"") to 4 (""I have a very clear and
definite understanding of the meaning of this word"")","Anderson, N. H. (1968). Likableness ratings of 555 personality-trait words. Journal of Personality and Social Psychology, 9(3), 272.
",familiarity,lit_search,,numeric
perc_known_winter,Percentage of participants that did not know the meaning or pronunciation of the word. ,"Winter, B., Lupyan, G., Perry, L. K., Dingemanse, M., & Perlman, M. (2023). Iconicity ratings for 14,000+ English words. Behavior Research Methods, 1–16.
",familiarity,lit_search,,numeric
iconicity_winter2023,Iconicty ratings on a scale from 0 (not iconic at all) to 7 (very iconic).,"Winter, B., Lupyan, G., Perry, L. K., Dingemanse, M., & Perlman, M. (2023). Iconicity ratings for 14,000+ English words. Behavior Research Methods, 1–16.
",iconicity/transparency,lit_search,,numeric
body_object_miklashevsky,"Estimate of how easily a human body can physically interact with the thing to which the word refers. A value of 1 will indicate a low body–object
interaction rating, and a value of 7 will indicate a high body–object interaction rating.","Miklashevsky, A. (2018). Perceptual experience norms for 506 Russian nouns: Modality rating, spatial localization, manipulability, imageability and other variables. Journal of Psycholinguistic Research, 47(3), 641–661.
",motor,lit_search,,numeric
aoa_schock,Age of acquisition ratings on a scale of 1 (0-2) to 7 (13+),"Schock, J., Cortese, M. J., Khanna, M. M., & Toppi, S. (2012). Age of acquisition estimates for 3,000 disyllabic words. Behavior Research Methods, 44, 971–977.
",age_of_acquisition,lit_search,,numeric
aoa_rt_schock,Reaction times for aoa ratings. ,"Schock, J., Cortese, M. J., Khanna, M. M., & Toppi, S. (2012). Age of acquisition estimates for 3,000 disyllabic words. Behavior Research Methods, 44, 971–977.
",semantic_decision,lit_search,,numeric
aoa_davies,Age of acquisition ratings on a scale of 1 (0-2) to 7 (13+),"Davies, S. K., Izura, C., Socas, R., & Dominguez, A. (2016). Age of acquisition and imageability norms for base and morphologically complex words in English and in Spanish. Behavior Research Methods, 48, 349–365.
",age_of_acquisition,lit_search,,numeric
imageability_davies,"Imageabilty ratings on a scale from 1 (""I don't know the meaning of this word"") to 8 (""very easy to evoke a mental image"")","Davies, S. K., Izura, C., Socas, R., & Dominguez, A. (2016). Age of acquisition and imageability norms for base and morphologically complex words in English and in Spanish. Behavior Research Methods, 48, 349–365.
",imageability,lit_search,,numeric
this_that_rocca,Proprtion of times participants associated each word with 'this' as opposed to 'that'. ,"Rocca, R., & Wallentin, M. (2020). Demonstrative reference and semantic space: a large-scale demonstrative choice task study. Frontiers in Psychology, 11, 629.
",this/that,lit_search,,numeric
iconicity_winter2017,Iconicity ratings on a scale from −5 (“words that sound like the opposite of what they mean”) to +5 (“words that sound like what they mean”).,"Winter, B., Perlman, M., Perry, L. K., & Lupyan, G. (2017). Which words are most iconic? Iconicity in English sensory words. Interaction Studies, 18(3), 443–464.
",iconicity/transparency,lit_search,,numeric
living_vanarsdall,Ratings from 1 (high nonliving) to 7 (high living),"VanArsdall, J. E., & Blunt, J. R. (2022). Analyzing the structure of animacy: Exploring relationships among six new animacy and 15 existing normative dimensions for 1,200 concrete nouns. Memory & Cognition, 50(5), 997–1012.
",animacy,lit_search,,numeric
thought_vanarsdall,Ratings form 1 (low ability to think) to 7 (high ability to think),"VanArsdall, J. E., & Blunt, J. R. (2022). Analyzing the structure of animacy: Exploring relationships among six new animacy and 15 existing normative dimensions for 1,200 concrete nouns. Memory & Cognition, 50(5), 997–1012.
",animacy,lit_search,,numeric
reproduction_vanarsdall,Ratings from 1 (low ability to reproduce) to 7 (high ability to reproduce),"VanArsdall, J. E., & Blunt, J. R. (2022). Analyzing the structure of animacy: Exploring relationships among six new animacy and 15 existing normative dimensions for 1,200 concrete nouns. Memory & Cognition, 50(5), 997–1012.
",animacy,lit_search,,numeric
person_vanarsdall,Ratings from 1 (low similarity to a person) to 7 (high similarity to a person),"VanArsdall, J. E., & Blunt, J. R. (2022). Analyzing the structure of animacy: Exploring relationships among six new animacy and 15 existing normative dimensions for 1,200 concrete nouns. Memory & Cognition, 50(5), 997–1012.
",animacy,lit_search,,numeric
goals_vanarsdall,Ratings from 1 (low goal directedness) to 7 (high goal-directedness),"VanArsdall, J. E., & Blunt, J. R. (2022). Analyzing the structure of animacy: Exploring relationships among six new animacy and 15 existing normative dimensions for 1,200 concrete nouns. Memory & Cognition, 50(5), 997–1012.
",animacy,lit_search,,numeric
movement_vanarsdall,Ratings from 1 (low movement likelihood) to 7 (high movement likelihood),"VanArsdall, J. E., & Blunt, J. R. (2022). Analyzing the structure of animacy: Exploring relationships among six new animacy and 15 existing normative dimensions for 1,200 concrete nouns. Memory & Cognition, 50(5), 997–1012.
",animacy,lit_search,,numeric
concreteness_vanarsdall,Ratings from 1 (highly abstract) to 7 (highty concrete),"VanArsdall, J. E., & Blunt, J. R. (2022). Analyzing the structure of animacy: Exploring relationships among six new animacy and 15 existing normative dimensions for 1,200 concrete nouns. Memory & Cognition, 50(5), 997–1012.
",concreteness,lit_search,,numeric
familiarity_vanarsdall,Ratings from 1 (highly unfamiliar) to 7 (highly familiar),"VanArsdall, J. E., & Blunt, J. R. (2022). Analyzing the structure of animacy: Exploring relationships among six new animacy and 15 existing normative dimensions for 1,200 concrete nouns. Memory & Cognition, 50(5), 997–1012.
",familiarity,lit_search,,numeric
imageability_vanarsdall,Ratings from 1 (low imagery) to 7 (high imagery),"VanArsdall, J. E., & Blunt, J. R. (2022). Analyzing the structure of animacy: Exploring relationships among six new animacy and 15 existing normative dimensions for 1,200 concrete nouns. Memory & Cognition, 50(5), 997–1012.
",imageability,lit_search,,numeric
familiarity_fear,Ratings from 1 (extremely infrequent) to 7 (extremley frequent),"Fear, W. J. (1997). Ratings for Welsh words and their English equivalents. Behavior Research Methods, Instruments, & Computers, 29, 425–445.
",familiarity,lit_search,,numeric
aoa_fear,Ratings from 1 (learned early) to 7 (learned late),"Fear, W. J. (1997). Ratings for Welsh words and their English equivalents. Behavior Research Methods, Instruments, & Computers, 29, 425–445.
",age_of_acquisition,lit_search,,numeric
imageability_fear,Ratings from 1 (low imageability) to 7 (high imageability),"Fear, W. J. (1997). Ratings for Welsh words and their English equivalents. Behavior Research Methods, Instruments, & Computers, 29, 425–445.
",imageability,lit_search,,numeric
sensory_experience_juhasz2013,"The extent to which a word evokes a sensory and/or perceptual experience in the mind of the reader on a 1 to 7 scale, with higher numbers indicating a greater sensory experience.","Juhasz, B.J., Yap, M.J. Sensory experience ratings for over 5,000 mono- and disyllabic words. Behav Res 45, 160–168 (2013).",sensory,SCOPE & lit_search,,numeric
